anmeldung_id;teilnehmer_id;programmpunkt_id;anmeldezeitpunkt;status
AN-000001;TN-00001;PP-1-001;2026-01-11T01:47:53;bestätigt
AN-000002;TN-00001;PP-1-003;2026-01-12T06:46:53;bestätigt
AN-000003;TN-00001;PP-1-008;2026-01-11T05:11:53;bestätigt
AN-000004;TN-00001;PP-1-019;2026-01-11T11:50:53;bestätigt
AN-000005;TN-00001;PP-2-023;2026-01-12T16:38:53;bestätigt
AN-000006;TN-00001;PP-2-024;2026-01-11T14:52:53;bestätigt
AN-000007;TN-00001;PP-2-029;2026-01-12T01:27:53;bestätigt
AN-000008;TN-00001;PP-2-035;2026-01-11T06:05:53;bestätigt
AN-000009;TN-00001;PP-2-036;2026-01-11T05:11:53;bestätigt
AN-000010;TN-00001;PP-2-038;2026-01-12T01:03:53;bestätigt
AN-000011;TN-00001;PP-2-042;2026-01-12T13:28:53;bestätigt
AN-000012;TN-00001;PP-2-048;2026-01-12T17:49:53;bestätigt
AN-000013;TN-00001;PP-2-050;2026-01-11T21:53:53;bestätigt
AN-000014;TN-00001;PP-2-051;2026-01-11T05:43:53;bestätigt
AN-000015;TN-00001;PP-2-054;2026-01-11T11:41:53;bestätigt
AN-000016;TN-00001;PP-2-055;2026-01-11T17:26:53;bestätigt
AN-000017;TN-00001;PP-3-059;2026-01-11T04:15:53;bestätigt
AN-000018;TN-00001;PP-3-060;2026-01-11T17:18:53;bestätigt
AN-000019;TN-00002;PP-2-026;2025-12-20T03:07:40;bestätigt
AN-000020;TN-00002;PP-2-031;2025-12-17T14:51:40;bestätigt
AN-000021;TN-00002;PP-2-032;2025-12-19T02:11:40;bestätigt
AN-000022;TN-00002;PP-2-035;2025-12-18T19:23:40;bestätigt
AN-000023;TN-00002;PP-2-037;2025-12-19T21:28:40;bestätigt
AN-000024;TN-00002;PP-2-038;2025-12-19T17:32:40;bestätigt
AN-000025;TN-00002;PP-2-041;2025-12-18T01:17:40;bestätigt
AN-000026;TN-00002;PP-2-045;2025-12-17T21:25:40;bestätigt
AN-000027;TN-00002;PP-3-058;2025-12-19T13:38:40;bestätigt
AN-000028;TN-00002;PP-3-060;2025-12-20T11:47:40;bestätigt
AN-000029;TN-00003;PP-1-002;2025-09-23T17:54:37;bestätigt
AN-000030;TN-00003;PP-1-005;2025-09-21T01:15:37;bestätigt
AN-000031;TN-00003;PP-1-009;2025-09-20T01:57:37;bestätigt
AN-000032;TN-00003;PP-1-013;2025-09-21T02:26:37;bestätigt
AN-000033;TN-00003;PP-1-014;2025-09-21T22:50:37;bestätigt
AN-000034;TN-00003;PP-1-018;2025-09-21T01:21:37;bestätigt
AN-000035;TN-00003;PP-1-019;2025-09-21T19:49:37;bestätigt
AN-000036;TN-00003;PP-1-022;2025-09-19T08:53:37;bestätigt
AN-000037;TN-00003;PP-2-023;2025-09-22T11:17:37;bestätigt
AN-000038;TN-00003;PP-2-036;2025-09-21T03:40:37;bestätigt
AN-000039;TN-00003;PP-2-038;2025-09-20T22:52:37;bestätigt
AN-000040;TN-00003;PP-2-043;2025-09-21T07:34:37;bestätigt
AN-000041;TN-00003;PP-2-048;2025-09-23T17:03:37;bestätigt
AN-000042;TN-00003;PP-2-049;2025-09-22T19:34:37;bestätigt
AN-000043;TN-00003;PP-2-051;2025-09-23T00:21:37;bestätigt
AN-000044;TN-00003;PP-2-055;2025-09-21T19:39:37;bestätigt
